Reference, Value, Footprint, Datasheet
"C1","10uF","0xFD:CP_Elec_3x6.4","https://www.mouser.com/datasheet/2/315/RDE0000C1259-1772497.pdf"
"C2","10uF","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~"
"C3","100nF","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~"
"C4","100nF","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~"
"C5","10uF","0xFD:CP_Elec_3x6.4","https://www.mouser.com/datasheet/2/315/RDE0000C1259-1772497.pdf"
"C6","10uF","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~"
"C7","220nF","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~"
"C8","10uF","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~"
"C9","100uF","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~"
"D1","D_Schottky","Diode_SMD:D_1206_3216Metric_Pad1.42x1.75mm_HandSolder","https://www.mouser.com/datasheet/2/40/schottky-776407.pdf"
"D2","D_Schottky","Diode_SMD:D_1206_3216Metric_Pad1.42x1.75mm_HandSolder","https://www.mouser.com/datasheet/2/40/schottky-776407.pdf"
"D3","LED","LED_SMD:LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder","~"
"D4","LED","LED_SMD:LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder","~"
"D6","LED","LED_SMD:LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder","~"
"J1","Solar","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~"
"J2","BAT","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~"
"J4","ESP32","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical","~"
"L1","L","0xFD:L-TYA4020","https://www.mouser.com/datasheet/2/987/Laird_Performance_TYA4020_series__Rev_A_-1877538.pdf~"
"Q1","DMP1045U-7","Package_TO_SOT_SMD:SOT-23","https://www.mouser.com/datasheet/2/115/DMP1045U-268222.pdf"
"R1","0.24","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~"
"R10","100k","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~"
"R2","1k","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~"
"R3","300k","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~"
"R4","120","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~"
"R5","100k","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~"
"R7","100k","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~"
"R8","1k","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~"
"R9","226k","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~"
"U1","CN3801","0xFD:CN3801","http://www.consonance-elec.com/pdf/datasheet/DSE-CN3801.pdf"
"U2","APX803L","Package_TO_SOT_SMD:SOT-23","https://www.mouser.com/datasheet/2/115/APX803L-1113564.pdf"
